Zero ohms, both inputs

experiment 1: Low CM
neg,pos,LTC2449,HP3456
0.0,0.4,-0.079992024973,-3.99985720E-01
0.016,0.384,-0.073618189618,-3.68114490E-01
0.032,0.368,-0.0672113113105,-3.36078700E-01
0.048,0.352,-0.0608048133552,-3.04044900E-01
0.064,0.336,-0.0544097587466,-2.72067440E-01
0.08,0.32,-0.0480156831443,-2.40094960E-01
0.096,0.304,-0.0416104480624,-2.08065250E-01
0.112,0.288,-0.0352183032781,-1.76104450E-01
0.128,0.272,-0.028824179247,-1.44132070E-01
0.144,0.256,-0.0224151540548,-1.12084870E-01
0.16,0.24,-0.0160067491233,-8.00390460E-02
0.176,0.224,-0.00961198098958,-4.80635890E-02
0.192,0.208,-0.0032220531255,-1.61125040E-02
0.208,0.192,0.0031860191375,+1.59290670E-02
0.224,0.176,0.00957830660045,+4.78938740E-02
0.24,0.16,0.0159720730036,+7.98651610E-02
0.256,0.144,0.0223802868277,+1.11906420E-01
0.272,0.128,0.0287876915187,+1.43944940E-01
0.288,0.112,0.0351821493357,+1.75920490E-01
0.304,0.096,0.0415750332177,+2.07886730E-01
0.32,0.08,0.0479812216014,+2.39920140E-01
0.336,0.064,0.054374152422,+2.71885870E-01
0.352,0.048,0.0607673950493,+3.03853740E-01
0.368,0.032,0.0671738218516,+3.35887810E-01
0.384,0.016,0.0735807012767,+3.67925850E-01
0.4,0.0,0.0799588985741,+3.99818440E-01
experiment 2: Ideal CM
neg,pos,LTC2449,HP3456
2.3,2.7,-0.0800115995109,-4.00074100E-01
2.316,2.684,-0.0736337829381,-3.68183300E-01
2.332,2.668,-0.0672269523144,-3.36148390E-01
2.348,2.652,-0.0608166620135,-3.04094520E-01
2.364,2.636,-0.0544388704002,-2.72205560E-01
2.38,2.62,-0.0480325631797,-2.40172120E-01
2.396,2.604,-0.0416228942573,-2.08122100E-01
2.412,2.588,-0.035216300562,-1.76088490E-01
2.428,2.572,-0.0288361251354,-1.44184680E-01
2.444,2.556,-0.0224283378571,-1.12145450E-01
2.46,2.54,-0.0160207446665,-8.01075770E-02
2.476,2.524,-0.00964111536741,-4.82089220E-02
2.492,2.508,-0.00323533341289,-1.61771100E-02
2.508,2.492,0.00317531339824,+1.58787150E-02
2.524,2.476,0.00958092883229,+4.79068080E-02
2.54,2.46,0.0159603655338,+7.98047910E-02
2.556,2.444,0.0223670072854,+1.11839360E-01
2.572,2.428,0.0287750549614,+1.43881610E-01
2.588,2.412,0.0351575449109,+1.75793840E-01
2.604,2.396,0.0415613245219,+2.07815420E-01
2.62,2.38,0.0479721371084,+2.39869030E-01
2.636,2.364,0.0543787553906,+2.71905310E-01
2.652,2.348,0.0607563573867,+3.03791040E-01
2.668,2.332,0.0671657156199,+3.35840560E-01
2.684,2.316,0.0735718566924,+3.67874120E-01
2.7,2.3,0.0799517698586,+3.99772560E-01
experiment 3: High CM
neg,pos,LTC2449,HP3456
