baseline

neg,pos,LTC2449,HP3456
0.0,2.0,-0.399926338345,-1.99954090E+00
0.12,2.12,-0.399935701862,-1.99956580E+00
0.24,2.24,-0.399940641597,-1.99956460E+00
0.36,2.36,-0.399947443977,-1.99957080E+00
0.48,2.48,-0.399953113869,-1.99957580E+00
0.6,2.6,-0.399955891073,-1.99956710E+00
0.72,2.72,-0.399962319061,-1.99957330E+00
0.84,2.84,-0.399965960532,-1.99956460E+00
0.96,2.96,-0.399974403903,-1.99958200E+00
1.08,3.08,-0.399980729446,-1.99958580E+00
1.2,3.2,-0.399985115975,-1.99958450E+00
1.32,3.32,-0.399994153529,-1.99959950E+00
1.44,3.44,-0.399999352172,-1.99960320E+00
1.56,3.56,-0.400004530326,-1.99960070E+00
1.68,3.68,-0.400009656325,-1.99960320E+00
1.8,3.8,-0.40001511015,-1.99960570E+00
1.92,3.92,-0.400024408475,-1.99962570E+00
2.04,4.04,-0.400029605255,-1.99962570E+00
2.16,4.16,-0.400035537779,-1.99962820E+00
2.28,4.28,-0.400040069595,-1.99962690E+00
2.4,4.4,-0.400045283139,-1.99962820E+00
2.52,4.52,-0.40005174838,-1.99963440E+00
2.64,4.64,-0.400059536099,-1.99964690E+00
2.76,4.76,-0.400062510744,-1.99963940E+00
>>> 

2k in CH0

neg,pos,LTC2449,HP3456
0.0,2.0,-0.399926198646,-1.99955710E+00
0.12,2.12,-0.399934817106,-1.99957580E+00
0.24,2.24,-0.399939676747,-1.99957200E+00
0.36,2.36,-0.399946557358,-1.99958200E+00
0.48,2.48,-0.399951905012,-1.99958330E+00
0.6,2.6,-0.399954810739,-1.99957450E+00
0.72,2.72,-0.399961426854,-1.99958200E+00
0.84,2.84,-0.399964749813,-1.99957330E+00
0.96,2.96,-0.399973198771,-1.99959200E+00
1.08,3.08,-0.39997914806,-1.99959700E+00
1.2,3.2,-0.399983905256,-1.99959080E+00
1.32,3.32,-0.399993030354,-1.99961190E+00
1.44,3.44,-0.399998608977,-1.99961320E+00
1.56,3.56,-0.400002919137,-1.99961070E+00
1.68,3.68,-0.400008516386,-1.99961440E+00
1.8,3.8,-0.400013754144,-1.99961440E+00
1.92,3.92,-0.400023188442,-1.99963440E+00
2.04,4.04,-0.400028243661,-1.99963310E+00
2.16,4.16,-0.40003390424,-1.99963810E+00
2.28,4.28,-0.400038331747,-1.99963440E+00
2.4,4.4,-0.400043878704,-1.99963560E+00
2.52,4.52,-0.400050200522,-1.99964310E+00
2.64,4.64,-0.400057818741,-1.99965560E+00
2.76,4.76,-0.400060990825,-1.99964560E+00
>>> 

2k in ch1

neg,pos,LTC2449,HP3456
0.0,2.0,-0.399927647784,-1.99955210E+00
0.12,2.12,-0.399936750531,-1.99957200E+00
0.24,2.24,-0.399941504002,-1.99956710E+00
0.36,2.36,-0.399948637933,-1.99957950E+00
0.48,2.48,-0.399954287335,-1.99958330E+00
0.6,2.6,-0.399957263842,-1.99957080E+00
0.72,2.72,-0.3999633044,-1.99957830E+00
0.84,2.84,-0.399967469275,-1.99957080E+00
0.96,2.96,-0.399975899607,-1.99958950E+00
1.08,3.08,-0.399982210249,-1.99959320E+00
1.2,3.2,-0.399986775592,-1.99958950E+00
1.32,3.32,-0.399995336309,-1.99960820E+00
1.44,3.44,-0.400000922382,-1.99960820E+00
1.56,3.56,-0.400005813688,-1.99960820E+00
1.68,3.68,-0.400011161342,-1.99960950E+00
1.8,3.8,-0.400016214699,-1.99961070E+00
1.92,3.92,-0.400025894865,-1.99962940E+00
2.04,4.04,-0.400030734017,-1.99962940E+00
2.16,4.16,-0.400036796927,-1.99963310E+00
2.28,4.28,-0.400041172281,-1.99962690E+00
2.4,4.4,-0.400047447532,-1.99963690E+00
2.52,4.52,-0.400053616613,-1.99963940E+00
2.64,4.64,-0.400061175227,-1.99965190E+00
2.76,4.76,-0.400064961985,-1.99964310E+00
>>> 

0.4 diff, sweeping common mode

neg,pos,LTC2449,HP3456
0.0,0.4,-0.0799771826714,-3.99895970E-01
0.184,0.584,-0.079999178648,-3.99998690E-01
0.368,0.768,-0.0800028480589,-4.00008660E-01
0.552,0.952,-0.0799879599363,-3.99925020E-01
0.736,1.136,-0.0800063852221,-4.00010530E-01
0.92,1.32,-0.0800085142255,-4.00013270E-01
1.104,1.504,-0.0799967069179,-3.99944210E-01
1.288,1.688,-0.0800161268562,-4.00032840E-01
1.472,1.872,-0.0800195131451,-4.00044310E-01
1.656,2.056,-0.0800054762512,-3.99964900E-01
1.84,2.24,-0.0800231751055,-4.00045180E-01
2.024,2.424,-0.0800252594054,-4.00049550E-01
2.208,2.608,-0.0800278466195,-4.00053540E-01
2.392,2.792,-0.0800343230367,-4.00076600E-01
2.576,2.976,-0.0800350047648,-4.00070490E-01
2.76,3.16,-0.0800376199186,-4.00073360E-01
2.944,3.344,-0.0800255294889,-4.00006420E-01
3.128,3.528,-0.0800427682698,-4.00084450E-01
3.312,3.712,-0.0800461545587,-4.00093550E-01
3.496,3.896,-0.0800337921828,-4.00022620E-01
3.68,4.08,-0.0800517126918,-4.00103520E-01
3.864,4.264,-0.0800556018949,-4.00115860E-01
