Friday, December 5
Testing two additional boards
Board 1, direct MUXOUT / ADCIN connection
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,1.5,0.0999645389616,+4.99825120E-01,+5.00044190E+00,35.7512633952
2.0,1.616,0.0767745360732,+3.83874870E-01,+5.00044690E+00,27.5144276897
2.0,1.732,0.0535689085722,+2.67847260E-01,+5.00044440E+00,17.8747466117
2.0,1.848,0.03037747778,+1.51888900E-01,+5.00044570E+00,10.2054910245
2.0,1.964,0.00717047229409,+3.58514880E-02,+5.00044570E+00,3.6391211343
2.0,2.08,-0.0160204775631,-8.01029420E-02,+5.00045190E+00,-5.72423858336
2.0,2.196,-0.039210171625,-1.96055890E-01,+5.00045190E+00,-10.3345857517
2.0,2.312,-0.0624158829451,-3.12090070E-01,+5.00045070E+00,-13.7306027568
2.0,2.428,-0.0856058239937,-4.28045240E-01,+5.00045450E+00,-17.6514510857
2.0,2.544,-0.108812382072,-5.44084540E-01,+5.00045820E+00,-20.6994278301
2.0,2.66,-0.132001458853,-6.60037540E-01,+5.00045450E+00,-21.8288199674
2.0,2.776,-0.155206675828,-7.76073340E-01,+5.00045450E+00,-21.2681441263
2.0,2.892,-0.178395027667,-8.92025180E-01,+5.00045700E+00,-20.7811260146
2.0,3.008,-0.20158286728,-1.00799490E+00,+5.00045820E+00,0.293348027203
2.0,3.124,-0.224786312133,-1.12402800E+00,+5.00046200E+00,6.07529649188
2.0,3.24,-0.247978177294,-1.23999130E+00,+5.00045700E+00,1.966243522
2.0,3.356,-0.271181998402,-1.35602070E+00,+5.00045950E+00,2.37084568799
2.0,3.472,-0.294370128959,-1.47197900E+00,+5.00045450E+00,12.2262382549
2.0,3.588,-0.317558886483,-1.58794110E+00,+5.00045700E+00,20.5967702844
2.0,3.704,-0.340762317553,-1.70397030E+00,+5.00045950E+00,22.5777680563
2.0,3.82,-0.363950312138,-1.81993360E+00,+5.00045820E+00,37.1143771678
2.0,3.936,-0.387152187899,-1.93596660E+00,+5.00045820E+00,51.4965895502
2.0,4.052,-0.410340294987,-2.05192500E+00,+5.00045950E+00,59.5942133477
2.0,4.168,-0.433525941893,-2.16788060E+00,+5.00045950E+00,77.697020358
2.0,4.284,-0.456727630645,-2.28391250E+00,+5.00045570E+00,93.6197374104
2.0,4.4,-0.479916255549,-2.39988180E+00,+5.00046200E+00,107.596048974
experiment 2: +/-1V sweep, VCM = 1.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
1.0,2.0,-0.200008334965,-1.00003810E+00,+5.00046200E+00,-83.9781204269
1.04,1.96,-0.184001034126,-9.19992090E-01,+5.00046200E+00,-87.0489955749
1.08,1.92,-0.168013479933,-8.40054600E-01,+5.00045450E+00,-79.0809543152
1.12,1.88,-0.152023398504,-7.60106130E-01,+5.00046450E+00,-72.3559383093
1.16,1.84,-0.136001453176,-6.79995920E-01,+5.00046200E+00,-66.0184289796
1.2,1.8,-0.120009147748,-6.00036910E-01,+5.00046330E+00,-57.2283974907
1.24,1.76,-0.104018942639,-5.20087210E-01,+5.00046450E+00,-49.578827877
1.28,1.72,-0.0880296971649,-4.40142920E-01,+5.00046330E+00,-41.0681767213
1.32,1.68,-0.0720129303634,-3.60060610E-01,+5.00046330E+00,-33.0846117659
1.36,1.64,-0.0560195434839,-2.80094670E-01,+5.00046830E+00,-25.9201798485
1.4,1.6,-0.0400301609188,-2.00148730E-01,+5.00046200E+00,-18.1667082814
1.44,1.56,-0.0240101035684,-1.20049890E-01,+5.00046330E+00,-10.3111102301
1.48,1.52,-0.00801972560585,-4.00973720E-02,+5.00046580E+00,-4.51043139542
1.52,1.48,0.00797114335001,+3.98540370E-02,+5.00046330E+00,4.89450991027
1.56,1.44,0.0239625014365,+1.19813100E-01,+5.00046200E+00,9.04010161158
1.6,1.4,0.0399800289422,+1.99895780E-01,+5.00046200E+00,20.4366722178
1.64,1.36,0.0559702202678,+2.79845690E-01,+5.00046070E+00,27.8385922228
1.68,1.32,0.0719621405005,+3.59805370E-01,+5.00046950E+00,34.8009737901
1.72,1.28,0.087984848395,+4.39916760E-01,+5.00046450E+00,43.0718202602
1.76,1.24,0.103972605988,+5.19854040E-01,+5.00046700E+00,51.3067588696
1.8,1.2,0.11996448189,+5.99812320E-01,+5.00046830E+00,59.0709082272
1.84,1.16,0.135953469947,+6.79756970E-01,+5.00046950E+00,66.0526327224
1.88,1.12,0.151975374669,+7.59863720E-01,+5.00047330E+00,75.9647058096
1.92,1.08,0.167961085588,+8.39793970E-01,+5.00046830E+00,80.0363929105
1.96,1.04,0.183952492476,+9.19748240E-01,+5.00046950E+00,89.5508581036
2.0,1.0,0.1999572061,+9.99772650E-01,+5.00046450E+00,94.2631322123
experiment 3: +/-1V sweep, VCM = 2.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,3.0,-0.199995394424,-1.00005180E+00,+5.00046700E+00,-6.57017875771
2.04,2.96,-0.183991996571,-9.20018770E-01,+5.00046450E+00,-15.6375656323
2.08,2.92,-0.16800442189,-8.40071680E-01,+5.00046950E+00,-19.2272002053
2.12,2.88,-0.152013878897,-7.60115350E-01,+5.00046700E+00,-15.9140836252
2.16,2.84,-0.135995176435,-6.80018360E-01,+5.00046830E+00,-13.0489569428
2.2,2.8,-0.120007447153,-6.00074060E-01,+5.00046700E+00,-12.0187587617
2.24,2.76,-0.104019704461,-5.20129970E-01,+5.00046700E+00,-10.8882915048
