experiment 1: Single ended sweep,,,,,
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.5,0.5,0.199962189,5.00E+00,5.00E+00,-3.000617056
2.5,0.68,0.1819675,5.00E+00,5.00E+00,-3.180572083
2.5,0.86,0.163964121,5.00E+00,3.03E+00,-4.008343079
2.5,1.04,0.145969419,1.45E+00,1.32E+00,-1.061845239
2.5,1.22,0.127973006,8.57E-01,2.99E-05,-0.856519687
2.5,1.4,0.109976755,4.90E-05,1.22E-04,-2.23E-05
2.5,1.58,0.091973615,2.32E-05,3.58E-05,-1.66E-05
2.5,1.76,0.07397753,1.52E-05,5.00E+00,0.739839681
2.5,1.94,0.055982088,-3.70E-05,5.00E+00,0.559923151
2.5,2.12,0.037985588,3.53E-04,5.00E+00,0.379547506
2.5,2.3,0.019983329,-9.90E-04,5.00E+00,0.200846786
2.5,2.48,0.001986784,1.99E-02,5.00E+00,-7.96E-07
2.5,2.66,-0.016008426,-1.60E-01,5.00E+00,-8.53E-06
2.5,2.84,-0.034002523,-3.40E-01,5.00E+00,-1.01E-05
2.5,3.02,-0.052006571,-5.20E-01,5.00E+00,-1.76E-05
2.5,3.2,-0.070002948,-7.00E-01,5.00E+00,-2.45E-05
2.5,3.38,-0.087998557,-8.80E-01,5.00E+00,-3.10E-05
2.5,3.56,-0.105995051,-1.06E+00,5.00E+00,-3.11E-05
2.5,3.74,-0.12399812,-1.24E+00,5.00E+00,-3.64E-05
2.5,3.92,-0.141993836,-1.42E+00,5.00E+00,-4.99E-05
2.5,4.1,-0.15998899,-1.60E+00,5.00E+00,-5.21E-05
2.5,4.28,-0.177984619,-1.78E+00,5.00E+00,-6.02E-05
2.5,4.46,-0.195989294,-1.96E+00,5.00E+00,-6.54E-05
2.5,4.64,-0.21398518,-2.14E+00,5.00E+00,-7.34E-05
2.5,4.82,-0.231980872,-2.32E+00,5.00E+00,-7.83E-05
2.5,5,-0.249984102,-2.50E+00,5.00E+00,-7.90E-05
,,,,,
experiment 1: Single ended sweep,,,,,
neg,pos,LTC2498,inmeter, refmeter, error (uV)
5,0.5,0.449928153,4.50E+00,5.00E+00,0.000126706
4.82,0.68,0.413928449,4.14E+00,5.00E+00,0.000133883
4.64,0.86,0.377931689,3.78E+00,5.00E+00,0.000124981
4.46,1.04,0.341940745,3.42E+00,5.00E+00,0.000110132
4.28,1.22,0.305938965,3.06E+00,5.00E+00,8.21E-05
4.1,1.4,0.269947441,2.70E+00,5.00E+00,6.74E-05
3.92,1.58,0.233951329,2.34E+00,5.00E+00,7.91E-05
3.74,1.76,0.197961463,1.98E+00,5.00E+00,6.98E-05
3.56,1.94,0.161962596,1.62E+00,5.00E+00,5.49E-05
3.38,2.12,0.125971342,1.26E+00,5.00E+00,4.36E-05
3.2,2.3,0.089972747,9.00E-01,5.00E+00,3.83E-05
3.02,2.48,0.053980934,5.40E-01,5.00E+00,2.04E-05
2.84,2.66,0.017982595,1.80E-01,5.00E+00,5.90E-06
2.66,2.84,-0.018005577,-1.80E-01,5.00E+00,-6.24E-06
2.48,3.02,-0.054006337,-5.40E-01,5.00E+00,-2.17E-05
2.3,3.2,-0.089997825,-9.00E-01,5.00E+00,-3.39E-05
2.12,3.38,-0.125995916,-1.26E+00,5.00E+00,-3.87E-05
1.94,3.56,-0.161988842,-1.62E+00,5.00E+00,-5.32E-05
1.76,3.74,-0.197985343,-1.98E+00,5.00E+00,-6.14E-05
1.58,3.92,-0.233976125,-2.34E+00,5.00E+00,-6.64E-05
1.4,4.1,-0.269972129,-2.70E+00,5.00E+00,-5.73E-05
1.22,4.28,-0.305963225,-3.06E+00,5.00E+00,-7.80E-05
1.04,4.46,-0.341964155,-3.42E+00,5.00E+00,-9.86E-05
0.86,4.64,-0.377954,-3.78E+00,5.00E+00,-0.000112346
0.68,4.82,-0.413953964,-4.14E+00,5.00E+00,-0.000123507
0.5,5,-0.449951757,-4.50E+00,5.00E+00,-0.000118152
