Friday, December 5
Testing two additional boards
Board 2, direct MUXOUT / ADCIN connection
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,1.5,0.0999652516097,+4.99848310E-01,+5.00063810E+00,35.7377227542
2.0,1.616,0.0767754994333,+3.83894070E-01,+5.00064060E+00,28.0028365683
2.0,1.732,0.0535706538707,+2.67865460E-01,+5.00063810E+00,18.7784211746
2.0,1.848,0.03037953116,+1.51904730E-01,+5.00064060E+00,10.5640826532
2.0,1.964,0.00717260055244,+3.58649200E-02,+5.00063930E+00,2.23783254599
2.0,2.08,-0.0160174008459,-8.00921020E-02,+5.00064060E+00,-4.20189380379
2.0,2.196,-0.0392068646848,-1.96048160E-01,+5.00064430E+00,-9.07189902513
2.0,2.312,-0.0624122291803,-3.12084460E-01,+5.00064430E+00,-13.1532141937
2.0,2.428,-0.0856020081788,-4.28041500E-01,+5.00064180E+00,-18.3439352336
2.0,2.544,-0.108808066696,-5.44083790E-01,+5.00064180E+00,-19.8477493802
2.0,2.66,-0.131996442378,-6.60039040E-01,+5.00063930E+00,-19.6371112507
2.0,2.776,-0.155201636255,-7.76076830E-01,+5.00063930E+00,-21.2592106719
2.0,2.892,-0.178389918804,-8.92032540E-01,+5.00064060E+00,-20.6267783187
2.0,3.008,-0.201579310372,-1.00800230E+00,+5.00063930E+00,-11.026274803
2.0,3.124,-0.224783258513,-1.12403680E+00,+5.00064180E+00,-10.2709185961
2.0,3.24,-0.247971229628,-1.24000370E+00,+5.00063810E+00,4.20028293524
2.0,3.356,-0.271172469482,-1.35604190E+00,+5.00064060E+00,22.1105077989
2.0,3.472,-0.294362174347,-1.47200020E+00,+5.00063930E+00,18.8049611205
2.0,3.588,-0.317551744357,-1.58796100E+00,+5.00063810E+00,18.7023076479
2.0,3.704,-0.340755162388,-1.70399650E+00,+5.00063930E+00,23.2894088754
2.0,3.82,-0.363943020627,-1.81996110E+00,+5.00063680E+00,36.0753906019
2.0,3.936,-0.387145137787,-1.93599900E+00,+5.00063810E+00,49.5033817602
2.0,4.052,-0.410332902893,-2.05195860E+00,+5.00063930E+00,56.3806634997
2.0,4.168,-0.433518313244,-2.16791800E+00,+5.00064060E+00,74.7340908784
2.0,4.284,-0.456719776616,-2.28395730E+00,+5.00063930E+00,93.8402480997
2.0,4.4,-0.479908268154,-2.39992420E+00,+5.00063810E+00,105.425402581
experiment 2: +/-1V sweep, VCM = 1.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
1.0,2.0,-0.200004374981,-1.00004930E+00,+5.00063930E+00,-88.4369607705
1.04,1.96,-0.183997009322,-9.20004180E-01,+5.00063930E+00,-87.4556377279
1.08,1.92,-0.168009195477,-8.40065190E-01,+5.00063810E+00,-77.9131004006
1.12,1.88,-0.152019312978,-7.60112860E-01,+5.00063550E+00,-71.1916469668
1.16,1.84,-0.135997628421,-6.80003020E-01,+5.00063680E+00,-63.565213886
1.2,1.8,-0.120005552471,-6.00041030E-01,+5.00063680E+00,-55.9512727051
1.24,1.76,-0.104015739635,-5.20090080E-01,+5.00063680E+00,-48.6142061645
1.28,1.72,-0.088026407361,-4.40142300E-01,+5.00063550E+00,-40.3957960974
1.32,1.68,-0.0720094494522,-3.60056750E-01,+5.00063810E+00,-32.1257523714
1.36,1.64,-0.0560166284442,-2.80091550E-01,+5.00063930E+00,-24.042519874
1.4,1.6,-0.0400275826454,-2.00141370E-01,+5.00063930E+00,-19.7311099862
1.44,1.56,-0.0240075979382,-1.20041790E-01,+5.00063550E+00,-10.0160071964
1.48,1.52,-0.00801729410887,-4.00888860E-02,+5.00063430E+00,-2.18885765347
1.52,1.48,0.00797305703163,+3.98656250E-02,+5.00063680E+00,4.25899862568
1.56,1.44,0.0239645220339,+1.19824200E-01,+5.00063430E+00,12.1729387824
1.6,1.4,0.03998160474,+1.99912480E-01,+5.00063300E+00,18.4530670448
1.64,1.36,0.0559718791395,+2.79864760E-01,+5.00063930E+00,27.0600734479
1.68,1.32,0.0719633743167,+3.59824190E-01,+5.00063550E+00,34.0963365697
1.72,1.28,0.087985739857,+4.39937830E-01,+5.00063430E+00,41.3992900622
1.76,1.24,0.103973674029,+5.19877230E-01,+5.00063810E+00,51.2470793711
1.8,1.2,0.119965430722,+5.99837500E-01,+5.00063550E+00,58.693432169
1.84,1.16,0.135954366252,+6.79786140E-01,+5.00063300E+00,63.592796151
1.88,1.12,0.151975933835,+7.59894130E-01,+5.00063430E+00,72.8185990374
1.92,1.08,0.167962039635,+8.39824140E-01,+5.00063430E+00,82.5183807032
1.96,1.04,0.18395313099,+9.19781280E-01,+5.00063430E+00,90.0188055942
2.0,1.0,0.199957957491,+9.99808170E-01,+5.00063430E+00,96.4528451994
experiment 3: +/-1V sweep, VCM = 2.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,3.0,-0.199991714209,-1.00006300E+00,+5.00063430E+00,-10.4258218017
2.04,2.96,-0.183988401666,-9.20027870E-01,+5.00063300E+00,-19.563259493
2.08,2.92,-0.168000516295,-8.40082400E-01,+5.00063050E+00,-16.0253876963
2.12,2.88,-0.152010123059,-7.60121710E-01,+5.00063430E+00,-16.2043550451
2.16,2.84,-0.135991112515,-6.80021350E-01,+5.00063300E+00,-12.1351691951
2.2,2.8,-0.120003794134,-6.00074680E-01,+5.00063680E+00,-13.5085733961
2.24,2.76,-0.104016049206,-5.20129850E-01,+5.00063680E+00,-10.3922428438
2.28,2.72,-0.0880266766995,-4.40175580E-01,+5.00063300E+00,-8.24257949272
2.32,2.68,-0.0720064938068,-3.60067220E-01,+5.00063430E+00,-6.60219571258
2.36,2.64,-0.0560182902962,-2.80118230E-01,+5.00063300E+00,-5.31983159741
2.4,2.6,-0.0400285430253,-2.00162310E-01,+5.00063550E+00,-3.44145888831
2.44,2.56,-0.0240105386823,-1.20065600E-01,+5.00063430E+00,-0.882608095096
2.48,2.52,-0.00802153237164,-4.01112150E-02,+5.00063430E+00,-1.0536055407
2.52,2.48,0.00796600282192,+3.98347460E-02,+5.00063300E+00,-0.167389219166
2.56,2.44,0.0239542443305,+1.19783810E-01,+5.00063430E+00,1.1685192992
2.6,2.4,0.0399736978114,+1.99888430E-01,+5.00063180E+00,2.91592523882
2.64,2.36,0.055962049216,+2.79835970E-01,+5.00063430E+00,6.41495455528
2.68,2.32,0.0719504121691,+3.59786550E-01,+5.00063550E+00,6.91813891673
2.72,2.28,0.087969776243,+4.39890950E-01,+5.00063300E+00,8.33769292419
2.76,2.24,0.103959491476,+5.19845190E-01,+5.00063050E+00,11.5760343398
2.8,2.2,0.119947388396,+5.99792620E-01,+5.00063180E+00,12.9076189733
2.84,2.16,0.135934882611,+6.79738270E-01,+5.00063810E+00,14.726687703
2.88,2.12,0.15195434913,+7.59842400E-01,+5.00063180E+00,16.2327990857
2.92,2.08,0.167946260795,+8.39810060E-01,+5.00063180E+00,17.2752603975
2.96,2.04,0.183933406696,+9.19752110E-01,+5.00063550E+00,20.7767227011
3.0,2.0,0.199936152995,+9.99774640E-01,+5.00063300E+00,20.687925818
experiment 4: +/-1V sweep, VCM = 4.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
4.0,5.0,-0.199970709905,-1.00013290E+00,+5.00063300E+00,164.767721174
4.04,4.96,-0.1839684017,-9.20088700E-01,+5.00062930E+00,141.958705487
