-40C run 1
Vref = 4.999600
experiment 1: Low CM
neg,pos,LTC2449,HP3456
0.0,0.4,-0.0799748227,-3.99933490E-01
0.016,0.384,-0.0736041478813,-3.68077720E-01
0.032,0.368,-0.0671983230859,-3.36045550E-01
0.048,0.352,-0.0607938263565,-3.04016850E-01
0.064,0.336,-0.0543994270265,-2.72039900E-01
0.08,0.32,-0.0480060204864,-2.40070780E-01
0.096,0.304,-0.0416034944355,-2.08050170E-01
0.112,0.288,-0.0352121777833,-1.76089620E-01
0.128,0.272,-0.0288193263113,-1.44120730E-01
0.144,0.256,-0.0224105380476,-1.12072030E-01
0.16,0.24,-0.0160044971853,-8.00338630E-02
0.176,0.224,-0.00960996933281,-4.80577330E-02
0.192,0.208,-0.0032218284905,-1.61128160E-02
0.208,0.192,0.0031841378659,+1.59219400E-02
0.224,0.176,0.00957492925227,+4.78813140E-02
0.24,0.16,0.0159675106406,+7.98504210E-02
0.256,0.144,0.0223737675697,+1.11885480E-01
0.272,0.128,0.0287807155401,+1.43924500E-01
0.288,0.112,0.0351741276681,+1.75899180E-01
0.304,0.096,0.041566696018,+2.07865160E-01
0.32,0.08,0.0479717180133,+2.39894710E-01
0.336,0.064,0.0543623901904,+2.71854830E-01
0.352,0.048,0.0607552360743,+3.03822200E-01
0.368,0.032,0.0671596769243,+3.35851280E-01
0.384,0.016,0.0735657792538,+3.67886960E-01
experiment 2: Ideal CM
neg,pos,LTC2449,HP3456
2.3,2.7,-0.0799961928278,-3.99943840E-01
2.316,2.684,-0.0736188627779,-3.68058770E-01
2.332,2.668,-0.0672114845365,-3.36025480E-01
2.348,2.652,-0.0608023237437,-3.03983570E-01
2.364,2.636,-0.0544231496751,-2.72090880E-01
2.38,2.62,-0.0480180568993,-2.40067540E-01
2.396,2.604,-0.0416078157723,-2.08019130E-01
2.412,2.588,-0.0352010596544,-1.75989020E-01
2.428,2.572,-0.0288209915161,-1.44091810E-01
2.444,2.556,-0.0224126242101,-1.12052210E-01
2.46,2.54,-0.016005218029,-8.00166300E-02
2.476,2.524,-0.00962541438639,-4.81217280E-02
2.492,2.508,-0.00321952998638,-1.60952970E-02
2.508,2.492,0.00319294631481,+1.59659120E-02
2.524,2.476,0.00959787890315,+4.79862540E-02
2.54,2.46,0.0159773100168,+7.98815710E-02
2.556,2.444,0.022384243086,+1.11912780E-01
2.572,2.428,0.0287928972393,+1.43952920E-01
2.588,2.412,0.0351762138307,+1.75866640E-01
2.604,2.396,0.0415792576969,+2.07878250E-01
2.62,2.38,0.0479905419052,+2.39930860E-01
2.636,2.364,0.0543968938291,+2.71962030E-01
2.652,2.348,0.0607748124748,+3.03847760E-01
2.668,2.332,0.0671828575432,+3.35883320E-01
2.684,2.316,0.0735891479999,+3.67913010E-01
experiment 3: High CM
neg,pos,LTC2449,HP3456
4.6,5.0,-0.0800269972533,-3.99997070E-01
4.616,4.984,-0.0736318305135,-3.68031220E-01
4.632,4.968,-0.0672217626125,-3.35991820E-01
4.648,4.952,-0.0608087480068,-3.03940190E-01
4.664,4.936,-0.0544185526669,-2.71998510E-01
