85C
5.000313
experiment 1: Low CM
neg,pos,LTC2449,HP3456
0.0,0.4,-0.0799462441355,-3.99832270E-01
0.016,0.384,-0.0735762365162,-3.67995940E-01
0.032,0.368,-0.0671749267727,-3.35965770E-01
0.048,0.352,-0.0607716349885,-3.03942560E-01
0.064,0.336,-0.0543817840517,-2.71995020E-01
0.08,0.32,-0.0479926783592,-2.40032010E-01
0.096,0.304,-0.0415906162933,-2.08016140E-01
0.112,0.288,-0.0352044874802,-1.76074660E-01
0.128,0.272,-0.0288151562214,-1.44115490E-01
0.144,0.256,-0.0224117688835,-1.12088490E-01
0.16,0.24,-0.0160097612068,-8.00612000E-02
0.176,0.224,-0.00961969830096,-4.81022530E-02
0.192,0.208,-0.00323398932815,-1.61884740E-02
0.208,0.192,0.00316857602447,+1.58651340E-02
0.224,0.176,0.0095569819212,+4.78140170E-02
0.24,0.16,0.0159461287782,+7.97669870E-02
0.256,0.144,0.0223461672664,+1.11777160E-01
0.272,0.128,0.028746962361,+1.43752350E-01
0.288,0.112,0.0351348225027,+1.75707210E-01
0.304,0.096,0.0415253242478,+2.07650630E-01
0.32,0.08,0.0479279309511,+2.39676810E-01
0.336,0.064,0.0543119044974,+2.71678310E-01
0.352,0.048,0.0607018429786,+3.03566280E-01
0.368,0.032,0.0671017130837,+3.35647850E-01
0.384,0.016,0.0735087811947,+3.67598760E-01
experiment 2: Ideal CM
neg,pos,LTC2449,HP3456
2.3,2.7,-0.0799837563187,-3.99909060E-01
2.316,2.684,-0.0736078770831,-3.68037950E-01
2.332,2.668,-0.0672063041478,-3.36051650E-01
2.348,2.652,-0.0608024949208,-3.04027450E-01
2.364,2.636,-0.054427212663,-2.72157690E-01
2.38,2.62,-0.0480244884267,-2.40144450E-01
2.396,2.604,-0.0416174329817,-2.08106390E-01
2.412,2.588,-0.0352151684463,-1.76087500E-01
2.428,2.572,-0.0288387935609,-1.44203250E-01
2.444,2.556,-0.022435253486,-1.12177620E-01
2.46,2.54,-0.0160311579704,-8.01559230E-02
2.476,2.524,-0.0096552727744,-4.82845180E-02
2.492,2.508,-0.0032528527081,-1.62658390E-02
2.508,2.492,0.00312549527735,+1.56077280E-02
2.524,2.476,0.00952867586166,+4.76630240E-02
2.54,2.46,0.0159025069326,+7.95456380E-02
2.556,2.444,0.022308059223,+1.11566740E-01
2.572,2.428,0.0287145001814,+1.43590040E-01
2.588,2.412,0.0350909149274,+1.75424490E-01
2.604,2.396,0.0414939055219,+2.07429360E-01
2.62,2.38,0.0478980526328,+2.39465640E-01
2.636,2.364,0.0542950790375,+2.71483350E-01
2.652,2.348,0.06067313198,+3.03422930E-01
2.668,2.332,0.0670750003308,+3.35357000E-01
2.684,2.316,0.0734792200848,+3.67370510E-01
experiment 3: High CM
neg,pos,LTC2449,HP3456
4.6,5.0,-0.080059510842,-4.00210350E-01
4.616,4.984,-0.0736689450219,-3.68260210E-01
