frequency	V(onoise)
6.250000000000000e+001	1.244741e-007
1.875114454889513e+002	1.244678e-007
3.125228909779025e+002	1.244615e-007
4.375343364668538e+002	1.244551e-007
5.625457819558051e+002	1.244486e-007
6.875572274447563e+002	1.244420e-007
8.125686729337076e+002	1.244353e-007
9.375801184226589e+002	1.244285e-007
1.062591563911610e+003	1.244216e-007
1.187603009400561e+003	1.244147e-007
1.312614454889513e+003	1.244076e-007
1.437625900378464e+003	1.244005e-007
1.562637345867415e+003	1.256021e-007
1.687648791356367e+003	1.272938e-007
1.812660236845318e+003	1.287533e-007
1.937671682334269e+003	1.300964e-007
2.062683127823220e+003	1.313633e-007
2.187694573312172e+003	1.325742e-007
2.312706018801123e+003	1.337411e-007
2.437717464290074e+003	1.348720e-007
2.562728909779025e+003	1.359727e-007
2.687740355267977e+003	1.370474e-007
2.812751800756928e+003	1.380993e-007
2.937763246245879e+003	1.391310e-007
3.062774691734830e+003	1.401445e-007
3.187786137223782e+003	1.411416e-007
3.312797582712733e+003	1.421236e-007
3.437809028201684e+003	1.430919e-007
3.562820473690636e+003	1.440474e-007
3.687831919179587e+003	1.449911e-007
3.812843364668538e+003	1.459237e-007
3.937854810157489e+003	1.468460e-007
4.062866255646441e+003	1.477586e-007
4.187877701135392e+003	1.486619e-007
4.312889146624344e+003	1.495566e-007
4.437900592113296e+003	1.504431e-007
4.562912037602247e+003	1.513217e-007
4.687923483091199e+003	1.521929e-007
4.812934928580151e+003	1.530569e-007
4.937946374069103e+003	1.539142e-007
5.062957819558054e+003	1.547649e-007
5.187969265047006e+003	1.556093e-007
5.312980710535958e+003	1.564478e-007
5.437992156024910e+003	1.572804e-007
5.563003601513861e+003	1.581074e-007
5.688015047002813e+003	1.589291e-007
5.813026492491765e+003	1.597455e-007
5.938037937980716e+003	1.605569e-007
6.063049383469668e+003	1.613635e-007
6.188060828958620e+003	1.621653e-007
6.313072274447572e+003	1.629625e-007
6.438083719936523e+003	1.637552e-007
6.563095165425475e+003	1.645437e-007
6.688106610914427e+003	1.653279e-007
6.813118056403378e+003	1.661080e-007
6.938129501892330e+003	1.668842e-007
7.063140947381282e+003	1.676564e-007
7.188152392870234e+003	1.684249e-007
7.313163838359185e+003	1.691896e-007
7.438175283848137e+003	1.699508e-007
7.563186729337089e+003	1.707084e-007
7.688198174826041e+003	1.714625e-007
7.813209620314992e+003	1.722133e-007
7.938221065803944e+003	1.729608e-007
8.063232511292896e+003	1.737050e-007
8.188243956781847e+003	1.744461e-007
8.313255402270799e+003	1.751840e-007
8.438266847759751e+003	1.759189e-007
8.563278293248703e+003	1.766509e-007
8.688289738737654e+003	1.773799e-007
8.813301184226606e+003	1.781060e-007
8.938312629715558e+003	1.788293e-007
9.063324075204509e+003	1.795498e-007
9.188335520693461e+003	1.802675e-007
9.313346966182413e+003	1.809827e-007
9.438358411671365e+003	1.816951e-007
9.563369857160316e+003	1.824050e-007
9.688381302649268e+003	1.831123e-007
9.813392748138220e+003	1.838171e-007
9.938404193627172e+003	1.845194e-007
1.006341563911612e+004	1.852192e-007
1.018842708460508e+004	1.859167e-007
1.031343853009403e+004	1.866118e-007
1.043844997558298e+004	1.873045e-007
1.056346142107193e+004	1.879950e-007
1.068847286656088e+004	1.886832e-007
1.081348431204983e+004	1.893691e-007
1.093849575753879e+004	1.900528e-007
1.106350720302774e+004	1.907343e-007
1.118851864851669e+004	1.914137e-007
1.131353009400564e+004	1.920910e-007
1.143854153949459e+004	1.927661e-007
1.156355298498354e+004	1.934392e-007
1.168856443047250e+004	1.941102e-007
1.181357587596145e+004	1.947792e-007
1.193858732145040e+004	1.954461e-007
1.206359876693935e+004	1.961111e-007
1.218861021242830e+004	1.967742e-007
1.231362165791725e+004	1.974352e-007
1.243863310340621e+004	1.980944e-007
1.256364454889516e+004	1.987516e-007
1.268865599438411e+004	1.994070e-007
1.281366743987306e+004	2.000605e-007
1.293867888536201e+004	2.007122e-007
1.306369033085097e+004	2.013621e-007
1.318870177633992e+004	2.020101e-007
1.331371322182887e+004	2.026564e-007
1.343872466731782e+004	2.033008e-007
1.356373611280677e+004	2.039435e-007
1.368874755829572e+004	2.045845e-007
1.381375900378468e+004	2.052237e-007
1.393877044927363e+004	2.058613e-007
1.406378189476258e+004	2.064971e-007
1.418879334025153e+004	2.071313e-007
1.431380478574048e+004	2.077637e-007
1.443881623122943e+004	2.083946e-007
1.456382767671839e+004	2.090237e-007
1.468883912220734e+004	2.096513e-007
1.481385056769629e+004	2.102772e-007
1.493886201318524e+004	2.109016e-007
1.506387345867419e+004	2.115243e-007
1.518888490416314e+004	2.121455e-007
1.531389634965210e+004	2.127651e-007
1.543890779514105e+004	2.133831e-007
1.556391924063000e+004	2.139996e-007
1.568893068611895e+004	2.146145e-007
1.581394213160790e+004	2.152280e-007
1.593895357709685e+004	2.158399e-007
1.606396502258581e+004	2.164503e-007
1.618897646807476e+004	2.170592e-007
1.631398791356371e+004	2.176666e-007
1.643899935905266e+004	2.182726e-007
1.656401080454161e+004	2.188770e-007
1.668902225003056e+004	2.194801e-007
1.681403369551952e+004	2.200816e-007
1.693904514100847e+004	2.206818e-007
1.706405658649742e+004	2.212805e-007
1.718906803198637e+004	2.218778e-007
1.731407947747532e+004	2.224736e-007
1.743909092296428e+004	2.230681e-007
1.756410236845323e+004	2.236611e-007
1.768911381394218e+004	2.242528e-007
1.781412525943113e+004	2.248431e-007
1.793913670492008e+004	2.254319e-007
1.806414815040903e+004	2.260195e-007
1.818915959589799e+004	2.266056e-007
1.831417104138694e+004	2.271904e-007
1.843918248687589e+004	2.277739e-007
1.856419393236484e+004	2.283560e-007
1.868920537785379e+004	2.289368e-007
1.881421682334274e+004	2.295162e-007
1.893922826883170e+004	2.300943e-007
1.906423971432065e+004	2.306711e-007
1.918925115980960e+004	2.312466e-007
1.931426260529855e+004	2.318207e-007
1.943927405078750e+004	2.323936e-007
1.956428549627645e+004	2.329652e-007
1.968929694176541e+004	2.335354e-007
1.981430838725436e+004	2.341044e-007
1.993931983274331e+004	2.346721e-007
2.006433127823226e+004	2.352385e-007
2.018934272372121e+004	2.358037e-007
2.031435416921016e+004	2.363676e-007
2.043936561469912e+004	2.369302e-007
2.056437706018807e+004	2.374916e-007
2.068938850567702e+004	2.380517e-007
2.081439995116597e+004	2.386106e-007
2.093941139665492e+004	2.391682e-007
2.106442284214388e+004	2.397246e-007
2.118943428763283e+004	2.402797e-007
2.131444573312178e+004	2.408336e-007
2.143945717861073e+004	2.413863e-007
2.156446862409968e+004	2.419378e-007
2.168948006958863e+004	2.424880e-007
2.181449151507759e+004	2.430370e-007
2.193950296056654e+004	2.435848e-007
2.206451440605549e+004	2.441314e-007
2.218952585154444e+004	2.446768e-007
2.231453729703339e+004	2.452210e-007
2.243954874252234e+004	2.457640e-007
2.256456018801130e+004	2.463058e-007
2.268957163350025e+004	2.468464e-007
2.281458307898920e+004	2.473858e-007
2.293959452447815e+004	2.479240e-007
2.306460596996710e+004	2.484610e-007
2.318961741545605e+004	2.489969e-007
2.331462886094501e+004	2.495316e-007
2.343964030643396e+004	2.500651e-007
2.356465175192291e+004	2.505974e-007
2.368966319741186e+004	2.511286e-007
2.381467464290081e+004	2.516586e-007
2.393968608838976e+004	2.521874e-007
2.406469753387872e+004	2.527151e-007
2.418970897936767e+004	2.532416e-007
2.431472042485662e+004	2.537669e-007
2.443973187034557e+004	2.542911e-007
2.456474331583452e+004	2.548142e-007
2.468975476132348e+004	2.553360e-007
2.481476620681243e+004	2.558568e-007
2.493977765230138e+004	2.563764e-007
2.506478909779033e+004	2.568948e-007
2.518980054327928e+004	2.574121e-007
2.531481198876823e+004	2.579283e-007
2.543982343425719e+004	2.584433e-007
2.556483487974614e+004	2.589572e-007
2.568984632523509e+004	2.594700e-007
2.581485777072404e+004	2.599816e-007
2.593986921621299e+004	2.604921e-007
2.606488066170194e+004	2.610014e-007
2.618989210719090e+004	2.615097e-007
2.631490355267985e+004	2.620168e-007
2.643991499816880e+004	2.625227e-007
2.656492644365775e+004	2.630276e-007
2.668993788914670e+004	2.635313e-007
2.681494933463565e+004	2.640340e-007
2.693996078012461e+004	2.645354e-007
2.706497222561356e+004	2.650358e-007
2.718998367110251e+004	2.655351e-007
2.731499511659146e+004	2.660332e-007
2.744000656208041e+004	2.665302e-007
2.756501800756936e+004	2.670261e-007
2.769002945305832e+004	2.675209e-007
2.781504089854727e+004	2.680146e-007
2.794005234403622e+004	2.685072e-007
2.806506378952517e+004	2.689987e-007
2.819007523501412e+004	2.694890e-007
2.831508668050308e+004	2.699783e-007
2.844009812599203e+004	2.704664e-007
2.856510957148098e+004	2.709535e-007
2.869012101696993e+004	2.714394e-007
2.881513246245888e+004	2.719242e-007
2.894014390794783e+004	2.724080e-007
2.906515535343679e+004	2.728906e-007
2.919016679892574e+004	2.733721e-007
2.931517824441469e+004	2.738525e-007
2.944018968990364e+004	2.743318e-007
2.956520113539259e+004	2.748100e-007
2.969021258088154e+004	2.752872e-007
2.981522402637050e+004	2.757632e-007
2.994023547185945e+004	2.762381e-007
3.006524691734840e+004	2.767119e-007
3.019025836283735e+004	2.771847e-007
3.031526980832630e+004	2.776563e-007
3.044028125381525e+004	2.781268e-007
3.056529269930421e+004	2.785962e-007
3.069030414479316e+004	2.790646e-007
3.081531559028211e+004	2.795318e-007
3.094032703577106e+004	2.799979e-007
3.106533848126001e+004	2.804630e-007
3.119034992674896e+004	2.809269e-007
3.131536137223792e+004	2.813898e-007
3.144037281772687e+004	2.818516e-007
3.156538426321582e+004	2.823122e-007
3.169039570870477e+004	2.827718e-007
3.181540715419372e+004	2.832303e-007
3.194041859968268e+004	2.836877e-007
3.206543004517163e+004	2.841440e-007
3.219044149066058e+004	2.845991e-007
3.231545293614953e+004	2.850532e-007
3.244046438163848e+004	2.854758e-007
3.256547582712743e+004	2.858372e-007
3.269048727261639e+004	2.861446e-007
3.281549871810534e+004	2.864045e-007
3.294051016359429e+004	2.866227e-007
3.306552160908323e+004	2.868040e-007
3.319053305457218e+004	2.869528e-007
3.331554450006113e+004	2.870730e-007
3.344055594555008e+004	2.871679e-007
3.356556739103903e+004	2.872407e-007
3.369057883652797e+004	2.872938e-007
3.381559028201692e+004	2.873296e-007
3.394060172750587e+004	2.873501e-007
3.406561317299482e+004	2.873571e-007
3.419062461848377e+004	2.873522e-007
3.431563606397271e+004	2.873367e-007
3.444064750946166e+004	2.873118e-007
3.456565895495061e+004	2.872787e-007
3.469067040043956e+004	2.872383e-007
3.481568184592851e+004	2.871913e-007
3.494069329141745e+004	2.871386e-007
3.506570473690640e+004	2.870807e-007
3.519071618239535e+004	2.870183e-007
3.531572762788430e+004	2.869518e-007
3.544073907337325e+004	2.868817e-007
3.556575051886219e+004	2.868083e-007
3.569076196435114e+004	2.867320e-007
3.581577340984009e+004	2.866531e-007
3.594078485532904e+004	2.865719e-007
3.606579630081799e+004	2.864886e-007
3.619080774630694e+004	2.864033e-007
3.631581919179588e+004	2.863164e-007
3.644083063728483e+004	2.862279e-007
3.656584208277378e+004	2.861380e-007
3.669085352826273e+004	2.860467e-007
3.681586497375168e+004	2.859543e-007
3.694087641924062e+004	2.858608e-007
3.706588786472957e+004	2.857663e-007
3.719089931021852e+004	2.856708e-007
3.731591075570747e+004	2.855745e-007
3.744092220119642e+004	2.854773e-007
3.756593364668536e+004	2.853794e-007
3.769094509217431e+004	2.852808e-007
3.781595653766326e+004	2.851815e-007
3.794096798315221e+004	2.850816e-007
3.806597942864116e+004	2.849810e-007
3.819099087413010e+004	2.848799e-007
3.831600231961905e+004	2.847782e-007
3.844101376510800e+004	2.846759e-007
3.856602521059695e+004	2.845732e-007
3.869103665608590e+004	2.844699e-007
3.881604810157485e+004	2.843661e-007
3.894105954706379e+004	2.842619e-007
3.906607099255274e+004	2.841572e-007
3.919108243804169e+004	2.840520e-007
3.931609388353064e+004	2.839464e-007
3.944110532901959e+004	2.838404e-007
3.956611677450853e+004	2.837339e-007
3.969112821999748e+004	2.836269e-007
3.981613966548643e+004	2.835196e-007
3.994115111097538e+004	2.834118e-007
4.006616255646433e+004	2.833036e-007
4.019117400195327e+004	2.831950e-007
4.031618544744222e+004	2.830860e-007
4.044119689293117e+004	2.829765e-007
4.056620833842012e+004	2.828667e-007
4.069121978390907e+004	2.827564e-007
4.081623122939801e+004	2.826458e-007
4.094124267488696e+004	2.825347e-007
