frequency	V(onoise)
6.250000000000000e+001	1.244741e-007
1.875457987298486e+002	1.244678e-007
3.125915974596971e+002	1.244615e-007
4.376373961895457e+002	1.244551e-007
5.626831949193943e+002	1.244486e-007
6.877289936492427e+002	1.244420e-007
8.127747923790913e+002	1.244353e-007
9.378205911089399e+002	1.244285e-007
1.062866389838789e+003	1.244216e-007
1.187912188568637e+003	1.244147e-007
1.312957987298486e+003	1.244076e-007
1.438003786028334e+003	1.244005e-007
1.563049584758183e+003	1.256084e-007
1.688095383488031e+003	1.272993e-007
1.813141182217880e+003	1.287586e-007
1.938186980947728e+003	1.301018e-007
2.063232779677577e+003	1.313688e-007
2.188278578407425e+003	1.325797e-007
2.313324377137274e+003	1.337467e-007
2.438370175867123e+003	1.348778e-007
2.563415974596971e+003	1.359787e-007
2.688461773326820e+003	1.370535e-007
2.813507572056668e+003	1.381056e-007
2.938553370786517e+003	1.391374e-007
3.063599169516365e+003	1.401511e-007
3.188644968246214e+003	1.411483e-007
3.313690766976063e+003	1.421306e-007
3.438736565705911e+003	1.430990e-007
3.563782364435760e+003	1.440547e-007
3.688828163165608e+003	1.449986e-007
3.813873961895457e+003	1.459314e-007
3.938919760625305e+003	1.468538e-007
4.063965559355154e+003	1.477665e-007
4.189011358085002e+003	1.486701e-007
4.314057156814851e+003	1.495649e-007
4.439102955544699e+003	1.504516e-007
4.564148754274548e+003	1.513304e-007
4.689194553004397e+003	1.522017e-007
4.814240351734246e+003	1.530659e-007
4.939286150464094e+003	1.539233e-007
5.064331949193942e+003	1.547742e-007
5.189377747923791e+003	1.556188e-007
5.314423546653639e+003	1.564574e-007
5.439469345383488e+003	1.572902e-007
5.564515144113337e+003	1.581174e-007
5.689560942843185e+003	1.589392e-007
5.814606741573034e+003	1.597558e-007
5.939652540302883e+003	1.605674e-007
6.064698339032731e+003	1.613741e-007
6.189744137762579e+003	1.621760e-007
6.314789936492428e+003	1.629734e-007
6.439835735222277e+003	1.637663e-007
6.564881533952125e+003	1.645549e-007
6.689927332681974e+003	1.653393e-007
6.814973131411823e+003	1.661196e-007
6.940018930141670e+003	1.668959e-007
7.065064728871519e+003	1.676683e-007
7.190110527601368e+003	1.684369e-007
7.315156326331216e+003	1.692018e-007
7.440202125061065e+003	1.699631e-007
7.565247923790914e+003	1.707208e-007
7.690293722520763e+003	1.714751e-007
7.815339521250610e+003	1.722261e-007
7.940385319980459e+003	1.729737e-007
8.065431118710308e+003	1.737181e-007
8.190476917440156e+003	1.744593e-007
8.315522716170004e+003	1.751974e-007
8.440568514899853e+003	1.759325e-007
8.565614313629701e+003	1.766645e-007
8.690660112359550e+003	1.773937e-007
8.815705911089399e+003	1.781199e-007
8.940751709819248e+003	1.788434e-007
9.065797508549096e+003	1.795640e-007
9.190843307278945e+003	1.802819e-007
9.315889106008794e+003	1.809972e-007
9.440934904738642e+003	1.817098e-007
9.565980703468491e+003	1.824198e-007
9.691026502198340e+003	1.831272e-007
9.816072300928188e+003	1.838321e-007
9.941118099658037e+003	1.845346e-007
1.006616389838788e+004	1.852346e-007
1.019120969711773e+004	1.859322e-007
1.031625549584758e+004	1.866274e-007
1.044130129457743e+004	1.873203e-007
1.056634709330728e+004	1.880109e-007
1.069139289203713e+004	1.886992e-007
1.081643869076698e+004	1.893853e-007
1.094148448949683e+004	1.900691e-007
1.106653028822667e+004	1.907508e-007
1.119157608695652e+004	1.914303e-007
1.131662188568637e+004	1.921077e-007
1.144166768441622e+004	1.927830e-007
1.156671348314607e+004	1.934562e-007
1.169175928187592e+004	1.941273e-007
1.181680508060577e+004	1.947964e-007
1.194185087933561e+004	1.954635e-007
1.206689667806546e+004	1.961286e-007
1.219194247679531e+004	1.967918e-007
1.231698827552516e+004	1.974530e-007
1.244203407425501e+004	1.981123e-007
1.256707987298486e+004	1.987697e-007
1.269212567171470e+004	1.994252e-007
1.281717147044455e+004	2.000788e-007
1.294221726917440e+004	2.007306e-007
1.306726306790425e+004	2.013806e-007
1.319230886663410e+004	2.020288e-007
1.331735466536395e+004	2.026751e-007
1.344240046409380e+004	2.033197e-007
1.356744626282365e+004	2.039626e-007
1.369249206155349e+004	2.046037e-007
1.381753786028334e+004	2.052430e-007
1.394258365901319e+004	2.058807e-007
1.406762945774304e+004	2.065166e-007
1.419267525647289e+004	2.071509e-007
1.431772105520274e+004	2.077835e-007
1.444276685393258e+004	2.084145e-007
1.456781265266243e+004	2.090438e-007
1.469285845139228e+004	2.096714e-007
1.481790425012213e+004	2.102975e-007
1.494295004885198e+004	2.109220e-007
1.506799584758183e+004	2.115448e-007
1.519304164631168e+004	2.121661e-007
1.531808744504153e+004	2.127858e-007
1.544313324377137e+004	2.134040e-007
1.556817904250122e+004	2.140206e-007
1.569322484123107e+004	2.146356e-007
1.581827063996092e+004	2.152492e-007
1.594331643869077e+004	2.158612e-007
1.606836223742062e+004	2.164717e-007
1.619340803615046e+004	2.170807e-007
1.631845383488031e+004	2.176883e-007
1.644349963361016e+004	2.182943e-007
1.656854543234001e+004	2.188989e-007
1.669359123106986e+004	2.195021e-007
1.681863702979971e+004	2.201038e-007
1.694368282852956e+004	2.207040e-007
1.706872862725940e+004	2.213028e-007
1.719377442598925e+004	2.219002e-007
1.731882022471910e+004	2.224962e-007
1.744386602344895e+004	2.230908e-007
1.756891182217880e+004	2.236839e-007
1.769395762090865e+004	2.242757e-007
1.781900341963850e+004	2.248661e-007
1.794404921836835e+004	2.254551e-007
1.806909501709819e+004	2.260427e-007
1.819414081582804e+004	2.266290e-007
1.831918661455789e+004	2.272139e-007
1.844423241328774e+004	2.277974e-007
1.856927821201759e+004	2.283796e-007
1.869432401074743e+004	2.289605e-007
1.881936980947728e+004	2.295400e-007
1.894441560820713e+004	2.301183e-007
1.906946140693698e+004	2.306952e-007
1.919450720566683e+004	2.312707e-007
1.931955300439668e+004	2.318450e-007
1.944459880312653e+004	2.324180e-007
1.956964460185638e+004	2.329896e-007
1.969469040058622e+004	2.335600e-007
1.981973619931607e+004	2.341291e-007
1.994478199804592e+004	2.346969e-007
2.006982779677577e+004	2.352634e-007
2.019487359550562e+004	2.358287e-007
2.031991939423547e+004	2.363927e-007
2.044496519296532e+004	2.369554e-007
2.057001099169516e+004	2.375169e-007
2.069505679042501e+004	2.380771e-007
2.082010258915486e+004	2.386360e-007
2.094514838788471e+004	2.391938e-007
2.107019418661456e+004	2.397502e-007
2.119523998534441e+004	2.403055e-007
2.132028578407425e+004	2.408595e-007
2.144533158280411e+004	2.414122e-007
2.157037738153395e+004	2.419638e-007
2.169542318026380e+004	2.425141e-007
2.182046897899365e+004	2.430632e-007
2.194551477772350e+004	2.436111e-007
2.207056057645335e+004	2.441578e-007
2.219560637518319e+004	2.447033e-007
2.232065217391304e+004	2.452476e-007
2.244569797264289e+004	2.457907e-007
2.257074377137274e+004	2.463325e-007
2.269578957010259e+004	2.468732e-007
2.282083536883244e+004	2.474127e-007
2.294588116756229e+004	2.479510e-007
2.307092696629214e+004	2.484882e-007
2.319597276502198e+004	2.490241e-007
2.332101856375183e+004	2.495589e-007
2.344606436248168e+004	2.500925e-007
2.357111016121153e+004	2.506249e-007
2.369615595994138e+004	2.511561e-007
2.382120175867123e+004	2.516862e-007
2.394624755740108e+004	2.522151e-007
2.407129335613092e+004	2.527429e-007
2.419633915486077e+004	2.532695e-007
2.432138495359062e+004	2.537949e-007
2.444643075232047e+004	2.543192e-007
2.457147655105032e+004	2.548423e-007
2.469652234978017e+004	2.553643e-007
2.482156814851001e+004	2.558851e-007
2.494661394723987e+004	2.564047e-007
2.507165974596971e+004	2.569233e-007
2.519670554469956e+004	2.574407e-007
2.532175134342941e+004	2.579569e-007
2.544679714215926e+004	2.584720e-007
2.557184294088911e+004	2.589860e-007
2.569688873961895e+004	2.594988e-007
2.582193453834880e+004	2.600105e-007
2.594698033707865e+004	2.605211e-007
2.607202613580850e+004	2.610305e-007
2.619707193453835e+004	2.615388e-007
2.632211773326820e+004	2.620460e-007
2.644716353199805e+004	2.625520e-007
2.657220933072790e+004	2.630570e-007
2.669725512945774e+004	2.635608e-007
2.682230092818759e+004	2.640635e-007
2.694734672691744e+004	2.645650e-007
2.707239252564729e+004	2.650655e-007
2.719743832437714e+004	2.655648e-007
2.732248412310698e+004	2.660630e-007
2.744752992183684e+004	2.665601e-007
2.757257572056668e+004	2.670561e-007
2.769762151929653e+004	2.675510e-007
2.782266731802638e+004	2.680447e-007
2.794771311675623e+004	2.685373e-007
2.807275891548608e+004	2.690289e-007
2.819780471421593e+004	2.695193e-007
2.832285051294577e+004	2.700086e-007
2.844789631167562e+004	2.704969e-007
2.857294211040547e+004	2.709839e-007
2.869798790913532e+004	2.714699e-007
2.882303370786517e+004	2.719548e-007
2.894807950659502e+004	2.724386e-007
2.907312530532487e+004	2.729213e-007
2.919817110405471e+004	2.734029e-007
2.932321690278456e+004	2.738834e-007
2.944826270151441e+004	2.743627e-007
2.957330850024426e+004	2.748410e-007
2.969835429897411e+004	2.753182e-007
2.982340009770396e+004	2.757943e-007
2.994844589643381e+004	2.762692e-007
3.007349169516366e+004	2.767431e-007
3.019853749389350e+004	2.772159e-007
3.032358329262335e+004	2.776876e-007
3.044862909135320e+004	2.781582e-007
3.057367489008305e+004	2.786277e-007
3.069872068881290e+004	2.790961e-007
3.082376648754275e+004	2.795634e-007
3.094881228627259e+004	2.800296e-007
3.107385808500244e+004	2.804946e-007
3.119890388373229e+004	2.809587e-007
3.132394968246214e+004	2.814216e-007
3.144899548119199e+004	2.818834e-007
3.157404127992184e+004	2.823441e-007
3.169908707865169e+004	2.828037e-007
3.182413287738153e+004	2.832622e-007
3.194917867611138e+004	2.837197e-007
3.207422447484123e+004	2.841760e-007
3.219927027357108e+004	2.846313e-007
3.232431607230093e+004	2.850853e-007
3.244936187103078e+004	2.855035e-007
3.257440766976063e+004	2.858609e-007
3.269945346849047e+004	2.861648e-007
3.282449926722032e+004	2.864216e-007
3.294954506595017e+004	2.866369e-007
3.307459086468002e+004	2.868158e-007
3.319963666340987e+004	2.869624e-007
3.332468246213972e+004	2.870807e-007
3.344972826086957e+004	2.871740e-007
3.357477405959941e+004	2.872453e-007
3.369981985832926e+004	2.872970e-007
3.382486565705911e+004	2.873316e-007
3.394991145578896e+004	2.873511e-007
3.407495725451881e+004	2.873572e-007
